Ticker,Company,Industry,AvgReturn,AvgVolatility
UPST,UPS,,3.393356680870056,12.009395790100097
TRV,Travelers Cos.,,1.8785347721253733,10.669250322290626
NOC,Northrop Grumman,Aerospace & Defense,1.2677191017352036,8.326783236642006
PRU,Prudential Insurance Company of America,"Insurance: Life, Health (Stock)",1.076318580318581,0.9871103059161793
SIX.AX,Sprint Nextel Corporation,,0.387689308940687,9.545035690661859
NVDA,Nvidia,,0.32994844923089994,3.0694530069200616
CI,Cigna Corporation,,0.294650658072395,3.085823622804552
AAPL,Apple,,0.28709423415099916,2.4013700956852726
AVGO,Broadcom,,0.2730562363896105,3.0867501097917556
MS,Morgan Stanley Group,Securities,0.2506220922287967,2.3023516445878953
TRV,Travelers,,0.23632519694285842,2.0501786201190546
TGT,The Goodyear Tire & Rubber Company,General Merchandisers,0.22443468645952716,1.9861756178412107
MPC,Marathon Petroleum Corporation,,0.2240263219550252,1.963822466135025
WMB,"The Williams Companies, Inc.",Energy,0.2168560524385764,1.923398058727918
ESH.BE,Express Scripts Holding Company,,0.2092550792498979,3.2567263703622267
EA,Electronic Data Systems Corporation,Computer And Data Services,0.20741448866256815,3.597199007868767
UAL,"United Continental Holdings, Inc.",,0.1993677285456467,2.523687529262309
JPM,J.P. Morgan & Co. Inc.,Commercial Banks,0.19861779255947107,1.5463428977921074
FMCC,Federal Home Loan Mortgage Corp.,Diversified Financials,0.19680289826188904,2.2229482225212918
VLO,Valero Energy Corp,Petroleum Refining,0.19059620649216186,1.7952891514595761
