company,ticker,date,open,high,low,close,volume
Walmart,WMT,2024-03-11,58.95,59.54,58.72,59.49,14154000
Amazon,AMZN,2024-03-11,174.31,174.47,171.47,171.96,28484800
Apple,AAPL,2024-03-11,171.54,172.97,170.66,171.35,60139500
Unitedhealth Group,UNH,2024-03-11,463.26,476.19,462.29,475.06,4410100
Cvs,CVS,2024-03-11,69.43,71.01,69.23,70.54,6267800
Exxon Mobil,XOM,2024-03-11,101.91,102.73,101.06,102.64,17577300
Alphabet,GOOGL,2024-03-11,135.2,138.15,135.2,136.73,32437800
Mckesson,MCK,2024-03-11,522.64,523.56,519.52,523.1,591300
Cencora,COR,2024-03-11,233.26,234.8,233.19,234.29,849000
Costco,COST,2024-03-11,712.96,713.15,704.25,707.29,3762500
Jp Morgan Chase,JPM,2024-03-11,180.22,181.34,179.2,181.2,5762600
Microsoft,MSFT,2024-03-11,398.56,400.46,396.1,399.31,16120800
Cardinal Health,CAH,2024-03-11,111.51,112.55,110.68,112.24,2310600
Chevron,CVX,2024-03-11,139.4,140.86,138.55,140.79,7577100
Cigna,CI,2024-03-11,331.83,335.3,330.61,333.19,1326500
Ford Motor,F,2024-03-11,10.84,10.94,10.79,10.82,35135400
Bank Of America,BAC,2024-03-11,34.14,34.67,34.03,34.63,34131500
General Motors,GM,2024-03-11,38.67,39.19,38.61,38.91,11659100
Elevance Health,ELV,2024-03-11,490.21,496.56,487.93,494.7,940700
Citigroup,C,2024-03-11,54.12,54.49,53.63,54.37,9176900
Centene,CNC,2024-03-11,78.16,78.66,77.06,78.03,2828000
Home Depot,HD,2024-03-11,358.27,359.64,355.68,358.23,2833700
Marathon Petroleum,MPC,2024-03-11,171.88,174.99,170.67,174.77,2467300
Kroger,KR,2024-03-11,53.85,54.05,52.92,53.0,6773400
Phillips 66,PSX,2024-03-11,138.99,140.53,137.44,140.52,3230900
Fannie Mae,FNMA,2024-03-11,1.46,1.57,1.4,1.54,12023600
Valero Energy,VLO,2024-03-11,141.42,143.5,140.12,142.9,2795400
Meta Platforms,META,2024-03-11,494.49,494.8,473.59,481.14,20428300
Verizon Communications,VZ,2024-03-11,35.29,35.88,35.28,35.79,12344600
At&T,ATT.L,2024-03-11,355.0,357.0,344.5,344.5,1771700
Comcast,CMCSA,2024-03-11,40.24,41.13,40.15,41.0,25322100
Wells Fargo,WFC,2024-03-11,54.52,55.07,54.27,54.82,16622000
Goldman Sachs Group,GS,2024-03-11,373.47,374.19,369.36,373.95,1654200
Freddie Mac,FMCC,2024-03-11,1.19,1.27,1.18,1.25,3665700
Target,TGT,2024-03-11,159.48,159.84,156.19,157.49,3142400
Humana,HUM.ST,2024-03-11,23.38,23.43,22.89,23.28,134202
Tesla,TSLA,2024-03-11,175.45,182.87,174.8,177.77,85391500
Morgan Stanley,MS,2024-03-11,82.29,82.69,81.36,82.4,4737200
Johnson & Johnson,JNJ,2024-03-11,152.1,153.85,151.52,153.76,4620800
Archer Daniels Midland,ADM,2024-03-11,51.28,52.1,51.26,51.49,5209600
Pepsico,PEP,2024-03-11,155.4,156.82,154.82,156.17,5404800
United Parcel Service,UPS,2024-03-11,138.91,140.12,138.59,139.68,3266000
Fedex,FDX,2024-03-11,239.66,245.04,239.66,244.36,1475000
Walt Disney,DIS,2024-03-11,108.64,111.42,108.58,110.83,8794300
Dell Technologies,DELL,2024-03-11,112.19,113.5,110.39,112.56,5936800
Lowe'S,X1G.PA,2024-03-11,223.95,223.95,223.07,223.07,46
Procter & Gamble,PG,2024-03-11,154.34,155.56,153.84,154.54,5170900
Energy Transfer,ET,2024-03-11,13.16,13.2,13.03,13.15,10707100
Boeing,BA,2024-03-11,194.21,196.07,189.8,192.49,14160600
Albertsons,ACI,2024-03-11,19.82,19.95,19.74,19.87,1517700
Sysco,SYY,2024-03-11,76.3,76.78,76.17,76.32,2435200
Rtx,RTX,2024-03-11,87.08,88.66,87.08,88.25,7273200
General Electric,GE,2024-03-11,131.88,132.93,128.63,131.46,9338609
Lockheed Martin,LMT,2024-03-11,417.27,418.91,415.63,417.69,951000
American Express,AXP,2024-03-11,217.66,218.09,214.1,215.96,2808200
Caterpillar,CAT,2024-03-11,328.26,329.44,322.93,326.28,1868000
Metlife,MET,2024-03-11,67.11,68.15,66.83,68.12,2079200
Hca Healthcare,HCA,2024-03-11,319.24,320.6,312.67,316.86,1043900
Progressive,PGR,2024-03-11,193.97,194.03,191.26,192.54,2178200
Ibm,IBM,2024-03-11,185.21,185.49,181.22,182.02,4725100
Deere,DE,2024-03-11,364.15,366.12,361.44,365.76,855700
Nvidia,NVDA,2024-03-11,86.39,88.76,84.13,85.74,678364000
Stonex Group,SNEX,2024-03-11,45.38,45.83,44.81,45.75,121800
Merck,MRK,2024-03-11,117.94,117.94,115.28,116.16,7769300
Conocophillips,COP,2024-03-11,107.35,109.24,106.67,109.13,5899300
Pfizer,PFIZER.NS,2024-03-11,4371.27,4395.37,4173.38,4254.86,84424
Delta Air Lines,DAL,2024-03-11,41.22,41.84,41.11,41.82,8031400
Td Synnex,SNX,2024-03-11,101.16,102.14,100.81,101.89,342500
