Ticker,Company,Industry,AvgReturn,AvgVolatility,TradingDays
FMCC,Freddie Mac,,3.071126129478216,11.244394463300704,40
FNMA,Fannie Mae,,2.919639100134373,10.294585061073303,40
TSLA,Tesla,,1.4017357124015688,4.871840623021126,40
AAL,American Airlines Group,,0.708421366289258,3.07729349732399,40
UAL,United Airlines Holdings,,0.5320823761401698,2.9938352763652802,40
ET,Energy Transfer,,0.4958444614894688,1.3622083492577075,40
DIS,Walt Disney,,0.3871570977382362,1.6173068760661409,40
BA,Boeing,,0.35009214989840987,1.9111432649195195,40
ATT.L,At&T,,0.33277970291674136,1.4279649164527655,40
AAPL,Apple,,0.31618085687514397,0.8478115014731884,40
GOOGL,Alphabet,,0.30060978699475527,1.9444773584604262,40
AMZN,Amazon,,0.29598769610747694,1.819082924723625,40
GS,Goldman Sachs Group,,0.2900574008235708,3.11138459444046,40
C,Citigroup,,0.2861056842841208,2.102479985356331,40
LFG.AX,Liberty Mutual Insurance Group,,0.2807208180427551,1.7061624094843864,40
601336.SS,New York Life Insurance,,0.2731467393182573,3.469562216883614,42
TILIX,Tiaa,,0.2620062788017094,1.2195783987641335,40
WFC,Wells Fargo,,0.2567924245260656,3.161613330245018,40
WMT,Walmart,,0.2553015761077404,0.9750376842916012,40
COF,Capital One Financial,,0.2505675424821675,3.5824528336524963,40
